# Root_Directory: DATA_SET_ID,START_TIME,STOP_TIME
holdings/ro-c-osinac-2-prl-67pchuryumov-m01-v3.0/catalog/dataset.cat: {"RO-C-OSINAC-2-PRL-67PCHURYUMOV-M01-V3.0"},{2014-01-20T10:00:00.000},{2014-05-07T12:47:59.000}
holdings/ro-c-osinac-2-prl-67pchuryumov-m02-v3.0/catalog/dataset.cat: {"RO-C-OSINAC-2-PRL-67PCHURYUMOV-M02-V3.0"},{2014-01-20T10:00:00.000},{2014-05-07T12:47:59.000}
holdings/ro-c-osinac-2-prl-67pchuryumov-m03-v3.0/catalog/dataset.cat: {"RO-C-OSINAC-2-PRL-67PCHURYUMOV-M03-V3.0"},{2014-05-07T12:48:00.000},{2014-06-04T10:49:59.000}
holdings/ro-c-osinac-2-prl-67pchuryumov-m04-v3.0/catalog/dataset.cat: {"RO-C-OSINAC-2-PRL-67PCHURYUMOV-M04-V3.0"},{2014-06-04T10:50:00.000},{2014-07-02T08:34:59.000}
holdings/ro-c-osinac-2-prl-67pchuryumov-m05-v3.0/catalog/dataset.cat: {"RO-C-OSINAC-2-PRL-67PCHURYUMOV-M05-V3.0"},{2014-07-02T08:35:00.000},{2014-08-01T09:59:59.000}
holdings/ro-c-osinac-2-prl-67pchuryumov-m06-v3.0/catalog/dataset.cat: {"RO-C-OSINAC-2-PRL-67PCHURYUMOV-M06-V3.0"},{2014-08-01T10:00:00.000},{2014-09-02T09:59:59.000}
holdings/ro-c-osinac-2-prl-67pchuryumov-m07-v3.0/catalog/dataset.cat: {"RO-C-OSINAC-2-PRL-67PCHURYUMOV-M07-V3.0"},{2014-09-02T10:00:00.000},{2014-09-23T09:59:59.000}
holdings/ro-c-osinac-2-prl-67pchuryumov-m08-v3.0/catalog/dataset.cat: {"RO-C-OSINAC-2-PRL-67PCHURYUMOV-M08-V3.0"},{2014-09-23T10:00:00.000},{2014-10-24T09:59:59.000}
holdings/ro-c-osinac-2-prl-67pchuryumov-m09-v3.0/catalog/dataset.cat: {"RO-C-OSINAC-2-PRL-67PCHURYUMOV-M09-V3.0"},{2014-10-24T10:00:00.000},{2014-11-21T23:24:59.000}
holdings/ro-c-osinac-2-esc1-67pchuryumov-m10-v3.0/catalog/dataset.cat: {"RO-C-OSINAC-2-ESC1-67PCHURYUMOV-M10-V3.0"},{2014-11-21T23:25:00.000},{2014-12-19T23:24:59.000}
