Created by Dan Robinson from Hubble data thru 20170531.  Loosely corrected by Tilden Barnes on 2020-01-09.

Object_Name	Object_Type	Asteroid_Type	Proposal_ID	Proposal_Title	Obs_ID	Start_Time	Instrument	Short_Name	Sort_Name	Unique_Obj_ID
END
288P/3000163 (2006 VW139)	01_COMET	MBA	12597	Hubble Imaging of a Newly Discovered Main Belt Comet	IBWP01QHQ	12/07/11 06:15 AM	WFC3  	288P	300163	C2300163
288P/3000163 (2006 VW139)	01_COMET	MBA	12597	Hubble Imaging of a Newly Discovered Main Belt Comet	IBWP01QIQ	12/07/11 06:23 AM	WFC3  	288P	300163	C2300163
288P/3000163 (2006 VW139)	01_COMET	MBA	12597	Hubble Imaging of a Newly Discovered Main Belt Comet	IBWP01QKQ	12/07/11 06:31 AM	WFC3  	288P	300163	C2300163
288P/3000163 (2006 VW139)	01_COMET	MBA	12597	Hubble Imaging of a Newly Discovered Main Belt Comet	IBWP01QMQ	12/07/11 06:39 AM	WFC3  	288P	300163	C2300163
288P/3000163 (2006 VW139)	01_COMET	MBA	12597	Hubble Imaging of a Newly Discovered Main Belt Comet	IBWP01QOQ	12/07/11 06:47 AM	WFC3  	288P	300163	C2300163
288P/3000163 (2006 VW139)	01_COMET	MBA	12597	Hubble Imaging of a Newly Discovered Main Belt Comet	IBWP01QQQ	12/07/11 06:55 AM	WFC3  	288P	300163	C2300163
288P/3000163 (2006 VW139)	01_COMET	MBA	12597	Hubble Imaging of a Newly Discovered Main Belt Comet	IBWP02AQQ	12/15/11 08:14 PM	WFC3  	288P	300163	C2300163
288P/3000163 (2006 VW139)	01_COMET	MBA	12597	Hubble Imaging of a Newly Discovered Main Belt Comet	IBWP02ARQ	12/15/11 08:22 PM	WFC3  	288P	300163	C2300163
288P/3000163 (2006 VW139)	01_COMET	MBA	12597	Hubble Imaging of a Newly Discovered Main Belt Comet	IBWP02ATQ	12/15/11 08:29 PM	WFC3  	288P	300163	C2300163
288P/3000163 (2006 VW139)	01_COMET	MBA	12597	Hubble Imaging of a Newly Discovered Main Belt Comet	IBWP02AVQ	12/15/11 08:38 PM	WFC3  	288P	300163	C2300163
288P/3000163 (2006 VW139)	01_COMET	MBA	12597	Hubble Imaging of a Newly Discovered Main Belt Comet	IBWP02AXQ	12/15/11 08:46 PM	WFC3  	288P	300163	C2300163
288P/3000163 (2006 VW139)	01_COMET	MBA	12597	Hubble Imaging of a Newly Discovered Main Belt Comet	IBWP02AZQ	12/15/11 08:54 PM	WFC3  	288P	300163	C2300163
288P/3000163 (2006 VW139)	01_COMET	MBA	14790	Investigating the binary nature of active asteroid 288P/300163	ID5N01BGQ	08/22/16 03:16 AM	WFC3  	288P	300163	C2300163
C/Great comet (1901 G1)	01_COMET	PAR	13663	Precise Orbit Determination for a New Horizons KBO	ICR001ZYQ	10/15/14 06:19 AM	WFC3  	1901G1	(1901 G1)	1000945
C/Great comet (1901 G1)	01_COMET	PAR	13663	Precise Orbit Determination for a New Horizons KBO	ICR001ZZQ	10/15/14 06:28 AM	WFC3  	1901G1	(1901 G1)	1000945
C/Great comet (1901 G1)	01_COMET	PAR	13663	Precise Orbit Determination for a New Horizons KBO	ICR001A2Q	10/15/14 06:37 AM	WFC3  	1901G1	(1901 G1)	1000945
C/Great comet (1901 G1)	01_COMET	PAR	13663	Precise Orbit Determination for a New Horizons KBO	ICR001A4Q	10/15/14 06:46 AM	WFC3  	1901G1	(1901 G1)	1000945
C/Great comet (1901 G1)	01_COMET	PAR	13663	Precise Orbit Determination for a New Horizons KBO	ICR001A6Q	10/15/14 06:55 AM	WFC3  	1901G1	(1901 G1)	1000945
